time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
1.90712,0.01132,88.32824,InsertToTarget,Double,35.41671,0.09695,0.01978,125.82870,125.82870,0.21963,0.10749,0.01978,0.00000,0.00000,0.00000,0.91147,1.00000,6,6,1,0.63907,1.01652,0.05998,0.83756,0.66925,0.06011,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.09752,15.62596,-11.56960,-46.41883,-50.01096,57.04935
1.93718,0.01033,96.84805,InsertToTarget,Double,36.09542,0.09698,0.00000,125.14990,125.14990,0.22384,0.10776,0.00000,0.00000,0.00000,0.00000,0.90977,1.00000,6,6,1,0.63941,1.01593,0.05998,0.83790,0.66866,0.06011,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.08742,15.52007,-11.45744,-46.48611,-49.95370,57.09877
1.97756,0.01084,92.21426,InsertToTarget,Double,37.00703,0.09706,0.00000,124.23830,124.23830,0.22949,0.10811,0.00000,0.00000,0.00000,0.00000,0.90749,1.00000,6,6,1,0.63986,1.01514,0.05998,0.83835,0.66786,0.06011,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.07393,15.37817,-11.30758,-46.57665,-49.87554,57.16501
2.00985,0.01198,83.47935,InsertToTarget,Double,37.73603,0.10085,0.01978,123.50940,123.50940,0.23401,0.11260,0.01978,0.00000,0.00000,0.00000,0.90567,1.00000,6,6,1,0.64022,1.01451,0.05998,0.83871,0.66723,0.06011,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.06323,15.26564,-11.18940,-46.64745,-49.81266,57.21563
2.04871,0.01062,94.17273,InsertToTarget,Double,38.61315,0.09895,0.01978,122.63220,122.63220,0.23945,0.11072,0.01978,0.00000,0.00000,0.00000,0.90348,1.00000,6,6,1,0.64066,1.01375,0.05998,0.83915,0.66647,0.06011,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.05024,15.12746,-11.04286,-46.73994,-49.73300,57.28418
2.08173,0.00960,104.15440,InsertToTarget,Double,39.35885,0.10546,0.01978,121.88660,121.88660,0.24408,0.11822,0.01978,0.00000,0.00000,0.00000,0.90161,1.00000,6,6,1,0.64102,1.01310,0.05998,0.83952,0.66582,0.06012,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.03930,15.01116,-10.92033,-46.81635,-49.66506,57.33891
2.11355,0.01055,94.76993,InsertToTarget,Double,40.07705,0.10568,0.01978,121.16840,121.16840,0.24853,0.11873,0.01978,0.00000,0.00000,0.00000,0.89982,1.00000,6,6,1,0.64138,1.01247,0.05998,0.83987,0.66520,0.06012,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.02881,14.89916,-10.80253,-46.89084,-49.59834,57.39301
2.15359,0.01038,96.29879,InsertToTarget,Double,40.98099,0.10448,0.00000,120.26440,120.26440,0.25414,0.11767,0.00000,0.00000,0.00000,0.00000,0.89756,1.00000,6,6,1,0.64183,1.01169,0.05998,0.84032,0.66441,0.06012,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.01559,14.75694,-10.65241,-46.98855,-49.51139,57.46472
2.19407,0.01061,94.28214,InsertToTarget,Double,41.89491,0.10464,0.01978,119.35050,119.35050,0.25980,0.11815,0.01978,0.00000,0.00000,0.00000,0.89527,1.00000,6,6,1,0.64228,1.01089,0.05998,0.84078,0.66362,0.06012,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.00230,14.61334,-10.50119,-47.08796,-49.42167,57.53721
2.22472,0.00893,111.94570,InsertToTarget,Double,42.58673,0.10771,0.01978,118.65870,118.65870,0.26409,0.12182,0.00000,0.00000,0.00000,0.00000,0.89354,1.00000,6,6,1,0.64262,1.01029,0.05998,0.84112,0.66302,0.06012,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-2.99224,14.50413,-10.38606,-47.16494,-49.35188,57.59307
